ID,Name,SMILES,LogS,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,IsAmide
A-4,Benzo[cd]indol-2(1H)-one,O=C1Nc2cccc3cccc1c23,-3.2547670983,169.182999999999,2.4055,51.9012,13,1,1,2,0,62,2,0,1,3,29.1,True
A-124,"sodium 1-amino-9,10-dioxo-4-({2,4,6-trimethyl-3-[(phenylformamido)methyl]phenyl}amino)-9,10-dihydroanthracene-2-sulfonate",[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,-1.43960512129999,591.621,1.55116,153.672499999999,42,8,3,11,6,208,4,0,1,5,158.489999999999,True
A-145,disodium 5-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-{4-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-sulfonatophenyl}benzene-1-sulfonate,[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,-1.642781181,758.706,-1.08019999999998,178.486399999999,52,14,0,20,9,254,4,0,2,6,229.18,True
A-169,2-methyl-N-[(2-methylprop-2-enamido)methyl]prop-2-enamide,CC(=C)C(=O)NCNC(=O)C(C)=C,-1.1892367555,182.222999999999,0.3285,50.7804,13,2,2,4,4,72,0,0,0,0,58.2,True
A-192,2-(hexadecanoylamino)acetic acid,CCCCCCCCCCCCCCCC(=O)NCC(O)=O,-5.5931226219,313.482,4.6685,90.9575,22,2,2,4,16,130,0,0,0,0,66.4,True
A-198,N-(2-ethylhexyl)-7-methyloctanamide,CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.73154525299999,269.472999999999,4.9255,84.2387,19,1,1,2,12,114,0,0,0,0,29.1,True
A-220,"2-ethylhexyl 4-[(4-{[4-(tert-butylcarbamoyl)phenyl]amino}-6-[(4-{[(2-ethylhexyl)oxy]carbonyl}phenyl)amino]-1,3,5-triazin-2-yl)amino]benzoate",CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,-8.1852587653,765.999999999999,10.3770999999999,223.397299999999,56,11,4,12,21,300,4,0,0,4,156.459999999999,True
A-243,5-methyl-5-phenylhexan-3-one,Cc1ccc(cc1)[S](=O)(=O)/C(=C/N2CC(=O)NC2=S)C#N,-3.5292992951,321.383,0.8504,79.5075,21,5,1,8,3,108,1,1,1,2,90.27,True
A-300,sodium hydrogen (2S)-2-dodecanamidopentanedioate,[Na+].CCCCCCCCCCCC(=O)N[C@@H](CCC(O)=O)C([O-])=O,-3.6091104804,351.419,-0.989199999999996,85.6515,24,4,2,7,15,134,0,0,0,0,106.53,True
A-319,"1-phenyl-2,5-dihydro-1H-pyrrole-2,5-dione",O=C1C=CC(=O)N1c2ccccc2,-2.3273175561,173.171,1.1159999999999899,48.075,13,2,0,3,1,64,1,0,1,2,37.38,True
A-320,"5-methyl-2-(4-methylphenyl)-2,3-dihydro-1H-pyrazol-3-one",Cc1ccc(cc1)N2N=C(C)CC2=O,-2.365667988,188.23,2.10762,56.391,14,2,0,3,1,72,1,0,1,2,32.67,True
A-355,"calcium 4,5-dichloro-2-[(E)-2-[3-methyl-5-oxo-1-(3-sulfonatophenyl)-4,5-dihydro-1H-pyrazol-4-yl]diazen-1-yl]benzene-1-sulfonate",[Ca++].CC1=NN(c2cccc(c2)[S]([O-])(=O)=O)C(=O)C1N=Nc3cc(Cl)c(Cl)cc3[S]([O-])(=O)=O,-3.8390840609,545.395,2.2958,113.483399999999,32,10,0,16,5,164,2,0,1,3,171.79,True
A-412,N-[3-(diethylamino)phenyl]acetamide,CCN(CC)c1cccc(NC(C)=O)c1,-2.4693780306,206.289,2.4912,64.3067,15,2,1,3,4,82,1,0,0,1,32.34,True
A-435,N-(4-carbamoylphenyl)-4-methoxy-3-nitrobenzamide,COc1ccc(cc1[N+]([O-])=O)C(=O)Nc2ccc(cc2)C(N)=O,-4.6536052692,315.285,1.95459999999999,82.5615,23,5,2,8,5,118,2,0,0,2,124.56,True
A-508,"(6R,7R)-3-[(acetyloxy)methyl]-7-amino-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O,-2.64897772169999,272.282,-0.869399999999998,62.3622,18,6,2,8,3,98,0,1,2,2,109.93,True
A-535,3-hydroxy-N-(2-methylphenyl)naphthalene-2-carboxamide,Cc1ccccc1NC(=O)c2cc3ccccc3cc2O,-4.6234419541,277.323,4.10612,84.745,21,2,2,3,2,104,3,0,0,3,49.33,True
